X,Y,OBJECTID,SITE,ADDRESS,MUNICIPALI,ZIP,Additional,SCHOOL_DIS,OPEN_CLOSE,BREAKFAST_,LUNCH_STAR,DAYS,OPENING_DA,CLOSING_DA,COUNTY_PAR,FID_1
-80.083540882105979,40.52257899542434,1,Avonworth Park,498 Camp Horne Road, AVALON,15237, , AVONWORTH, CLOSED,8:45 - 9:45 am,11:45 am - 1:45 pm,M -F,2017-06-12T00:00:00.000Z,2017-08-18T00:00:00.000Z, ,1
-79.907759501999408,40.404863369349073,2,Barrett Elementary,221 E. 12th Ave, HOMESTEAD,15120, , STEEL VALLEY, CLOSED,8 - 9 am,11:30 am - 1:30 pm,M - TH,2017-06-26T00:00:00.000Z,2017-07-20T00:00:00.000Z, ,2
-79.936907818241195,40.468391061398393,3,Brothers And Sisters Emerging,5315 Hillcrest Street,PITTSBURGH,15224, ,PITTSBURGH, CLOSED,9 - 10 am, ,M - F,2017-07-10T00:00:00.000Z,2017-08-11T00:00:00.000Z, ,3
-79.916045895801403,40.394611347135992,4,Calhoun Village Playground,3650 Fieldstone Drive, WEST HOMESTEAD,15120,West Homestead Community Park, STEEL VALLEY, OPEN, ,11 am - 1 pm,M - F,2017-06-12T00:00:00.000Z,2017-07-21T00:00:00.000Z, ,4
-80.069195933745334,40.501675137597601,5,California Ave. Park,600 California Ave., AVALON,15202, , NORTHGATE, OPEN, ,11 am - 1 pm,M - F,2017-06-12T00:00:00.000Z,2017-08-18T00:00:00.000Z, ,5
-80.017903513636213,40.449812844986866,6,Ccac Allegheny,808 Ridge Avenue, PITTSBURGH,15212,Jones Hall Room 102-03, PITTSBURGH, CLOSED, ,12:30 - 1:00 pm,M- TH,2017-06-13T00:00:00.000Z,2017-06-23T00:00:00.000Z, ,6
-79.942125053428413,40.411991225914392,7,Center Of Life,161 Hazelwood Ave., PITTSBURGH,15207, , PITTSBURGH, CLOSED,8:30 - 9:30 am,11:30 am - 1:30 pm,M - F,2017-06-19T00:00:00.000Z,2017-07-28T00:00:00.000Z, ,7
-80.084083918837734,40.404636962325981,8,Chartiers Boys & Girls Club,630 Washington Ave., CARNEGIE,15106, , CARLYNTON, OPEN,8 - 9 am,11 am - 1 pm,M - F,2017-06-12T00:00:00.000Z,2017-08-11T00:00:00.000Z, ,8
-79.891630974090162,40.303423960547377,9,Clairton Park,Freemont Street, CLAIRTON,15025,Directly Below The Swimming Pool, CLAIRTON, OPEN, ,noon - 2 pm,M - F,2017-06-26T00:00:00.000Z,2017-08-18T00:00:00.000Z, ,9
-79.842610985208751,40.351282158444917,10,Crawford Village, 2901 Brownlee Ave., MCKEESPORT,15132,Family Service Cener, MCKEESPORT, OPEN,9 - 10 am,11 am - 1 pm,M - F,2017-06-12T00:00:00.000Z,2017-08-18T00:00:00.000Z, ,10
-79.849079503816029,40.373716603038872,11,Duquesne West Mifflin Boys & Girls Club,29 North 3rd Street,DUQUESNE,15110, ,DUQUESNE, OPEN,9:30 - 10:30 am,noon - 2 pm,M - F,2017-06-12T00:00:00.000Z,2017-08-11T00:00:00.000Z, ,11
-79.844697972633298,40.395349772374175,13,East Pittsburgh Community Center,506 Bessemer Ave, EAST PITTSBURGH,15112, , WOODLAND HILLS, OPEN, ,noon - 2 pm,M - F,2017-06-12T00:00:00.000Z,2017-08-18T00:00:00.000Z, ,13
-79.923440836625275,40.46324317833006,14,Eastminster Church,250 North Highland Ave,PITTSBURGH,15206, ,PITTSBURGH, CLOSED,8:30 - 9:30 am, , ,2017-06-12T00:00:00.000Z,2017-06-23T00:00:00.000Z, ,14
-79.814382387637067,40.434185495764098,15,Eastmont Park,Frazier Drive, WILKINS TOWNSHIP,15235, , WOODLAND HILLS, OPEN, ,11 am - 1 pm,M - F,2017-06-12T00:00:00.000Z,2017-08-18T00:00:00.000Z, ,15
-79.865001717355312,40.363047930317798,16,Emerson Elementary School,1922 Pennsylvania Ave, WEST MIFFLIN,15122, , WEST MIFFLIN, OPEN, ,11 am - 1 pm,M - TH,2017-06-12T00:00:00.000Z,2017-08-17T00:00:00.000Z, ,16
-79.942225101207441,40.468693658085897,17,Fort Pitt Playground,Hillcrest Street, PITTSBURGH,15224, , PITTSBURGH, CLOSED, ,noon - 2 pm,M - F,2017-07-10T00:00:00.000Z,2017-08-11T00:00:00.000Z, ,17
-79.913517057965805,40.410983180329538,18,Frick Park,10th  Amity Street, HOMESTEAD,15120, , STEEL VALLEY, OPEN, ,noon - 2 pm,M - F,2017-06-12T00:00:00.000Z,2017-08-11T00:00:00.000Z, ,18
-79.892447245543906,40.328508316905356,19,Glassport American Legion,417 Monogahala Ave, GLASSPORT,15145, , SOUTH ALLEGHENY, OPEN, ,noon - 2 pm,M - F,2017-06-12T00:00:00.000Z,2017-08-15T00:00:00.000Z, ,19
-79.972250560414977,40.449482675085449,20,Good Samaritan Baptist Church,2500 Webster Ave, PITTSBURGH,15219, , PITTSBURGH, OPEN, ,11 am - 1 pm,M - F,2017-06-12T00:00:00.000Z,2017-06-30T00:00:00.000Z, ,20
-79.820793904515028,40.413319219706288,21,Hamilton Ave. Playground,Hamilton Ave., TURTLE CREEK,15145,Kenyon Street Intersection, WOODLAND HILLS, OPEN, ,11 am - 12 pm,M - F,2017-06-12T00:00:00.000Z,2017-08-04T00:00:00.000Z, ,21
-79.86687690184749,40.351522122747838,22,Harrison Village,100 Market Street, MCKEESPORT,15132, , MCKEESPORT, OPEN,9 -10 am,11 am - 1 pm,M - F,2017-06-12T00:00:00.000Z,2017-08-18T00:00:00.000Z, ,22
-79.844710746603653,40.458856360033053,23,Holy Ghost Fun Outreach Ministries,3534 Laketon Road,PENN HILLS,15235,Front Entrance,PENN HILLS, CLOSED,8 - 9 am,noon - 2 pm,M - F,2017-06-12T00:00:00.000Z,2017-08-18T00:00:00.000Z, ,23
-79.887696650579926,40.44558155184717,24,Hosanna House Summer Camp,807 Wallace Ave., WILKINSBURG,15221, , WILKINSBURG, CLOSED,9 - 10 am, ,M - F,2017-06-12T00:00:00.000Z,2017-08-11T00:00:00.000Z, ,24
-79.805191515076331,40.513522361967489,25,Hulton Arbors,815 Arbor Lane,VERONA,15147, ,PENN HILLS, OPEN, ,noon - 2 pm,M - F,2017-06-12T00:00:00.000Z,2017-08-18T00:00:00.000Z, ,25
-79.880097063628568,40.290521030121511,26,Kaboom Playground, Reed Street & Mitchell Ave,CLAIRTON,15025,Corner Of Reed Street And Mitchell Ave,CLAIRTON, OPEN, ,noon - 2 pm,M - F,2017-07-05T00:00:00.000Z,2017-08-18T00:00:00.000Z, ,26
-79.885733502499079,40.467577013068762,27,Lincoln Park,7300 Ridgeview Ave., PENN HILLS,15235, , PENN HILLS, CLOSED,9 - 10 am,noon - 2 pm,M - F,2017-06-19T00:00:00.000Z,2017-08-18T00:00:00.000Z, ,27
-79.843283900231768,40.423444553523382,28,Lions Park,Alpine Blvd., WILKINS TOWNSHIP,15221, , WOODLAND HILLS, OPEN, ,11 am - 1 pm,M - F,2017-06-12T00:00:00.000Z,2017-08-12T00:00:00.000Z, ,28
-80.011225097760018,40.290643017761113,29,Lowe Hall,2624 Brandis Street,SOUTH PARK,15129, ,SOUTH PARK, CLOSED,8 - 9 am,11:30 am - 12:30 pm,M - F,2017-06-26T00:00:00.000Z,2017-08-03T00:00:00.000Z, ,29
-79.842278514841553,40.366869478843398,30,Macedonia Baptist Church,17 Cochran Street, DUQUESNE,15122, , DUQUESNE, OPEN,8 - 9 am,11 am - 1 pm,M - F,2017-07-17T00:00:00.000Z,2017-07-21T00:00:00.000Z, ,30
-79.862140155543727,40.399635489786078,31,Mapleview Terrace,1014 Mapleview Drive, BRADDOCK,15104,Community Room, WOODLAND HILLS, OPEN,8:30 - 9:30 am,11:30 am - 1:30 pm,M - F,2017-06-13T00:00:00.000Z,2017-08-18T00:00:00.000Z, ,31
-79.854990912200776,40.346651273137809,32,Mckeesport Presbyterian Church,1510 Versaille Ave,MCKEESPORT,15132, ,MCKEESPORT, OPEN, ,11 am - 1 pm,M - F,2017-06-12T00:00:00.000Z,2017-08-18T00:00:00.000Z, ,32
-79.858285936446734,40.346343640246857,33,Mckeesport Safe Passage,1406 Cornell Street,MCKEESPORT,15132, ,MCKEESPORT, CLOSED,9:30 - 10:30 am,11:30 am - 1:30 pm,M - F,2017-06-26T00:00:00.000Z,2017-08-04T00:00:00.000Z, ,33
-79.910386186972914,40.341287961070577,34,Mifflin Estates,200 A Drive, WEST MIFFLIN,15122, , WEST MIFFLIN, OPEN,8 - 9 am,11 am - 1 pm,M - F,2017-06-12T00:00:00.000Z,2017-08-18T00:00:00.000Z, ,34
-79.884581530313312,40.398137526825451,35,Monview Heights,1 Midway Drive,WEST MIFFLIN,15122, ,WEST MIFFLIN, OPEN,9 - 10 am,noon - 2 pm,M - F,2017-06-26T00:00:00.000Z,2017-08-18T00:00:00.000Z, ,35
-80.187593048080657,40.525060705187457,36,Mooncrest,308 Hemlock Drive, MOON TOWNSHIP,15108,Community Center, MOON, OPEN, ,11 am - 1 pm,M - F,2017-06-12T00:00:00.000Z,2017-08-18T00:00:00.000Z, ,36
-79.983243029542166,40.464185439406549,37,Most Holy Name Of Jesus,1515 Tinsbury St, PITTSBURGH,15212, , PITTSBURGH, OPEN, ,noon - 1:30 pm,M - F,2017-07-03T00:00:00.000Z,2017-08-18T00:00:00.000Z, ,37
-79.914158155874134,40.46240056573356,38,Mt. Ararat Community Center,271 Paulson Ave., PITTSBURGH,15206, , PITTSBURGH, CLOSED,9 - 10 am,11:30 am - 1:30 pm,M - F,2017-06-12T00:00:00.000Z,2017-08-18T00:00:00.000Z, ,38
-80.011617389231105,40.283262654947634,39,Mt.  Zion Baptist Church,3801 Mountain Rd, SOUTH PARK,15129, , SOUTH PARK, CLOSED,8 - 9 am,11:30 am - 12:30 pm,M - Th,2017-06-26T00:00:00.000Z,2017-08-03T00:00:00.000Z, ,39
